Freelancer_ID,Job_Category,Platform,Experience_Level,Client_Region,Payment_Method,Job_Completed,Earnings_USD,Hourly_Rate,Job_Success_Rate,Client_Rating,Job_Duration_Days,Project_Type,Rehire_Rate,Marketing_Spend
1018,Digital Marketing,Freelancer,Expert,France,Credit Card,178,47000,46.0,97.1,4.8,46,Hourly,91.2,820
1019,Mobile App Development,Fiverr,Intermediate,USA,Bank Transfer,112,37000,40.0,96.5,4.7,37,Fixed-Price,88.8,620
1020,SEO,Upwork,Beginner,UK,Cryptocurrency,56,24000,32.0,91.8,4.5,34,Hourly,82.3,380
1021,Video Editing,Freelancer,Expert,Australia,PayPal,162,45000,36.0,97.3,4.8,36,Fixed-Price,90.2,760
1022,Web Development,Fiverr,Expert,Canada,Credit Card,197,53000,52.0,98.6,5.0,50,Hourly,94.3,980
1023,Graphic Design,Upwork,Intermediate,Germany,Bank Transfer,101,34000,37.0,95.0,4.6,37,Fixed-Price,87.1,570
1024,Content Writing,Freelancer,Beginner,France,PayPal,47,19000,26.0,89.8,4.4,29,Hourly,79.1,310
1025,Digital Marketing,Fiverr,Expert,USA,Cryptocurrency,185,50000,49.0,98.3,4.9,49,Fixed-Price,93.4,920
1026,Mobile App Development,Upwork,Intermediate,UK,Bank Transfer,118,39000,43.0,96.7,4.8,39,Hourly,89.1,640
1027,SEO,Freelancer,Beginner,Australia,Credit Card,50,21000,29.0,90.1,4.4,31,Fixed-Price,80.5,340
1028,Video Editing,Fiverr,Expert,Canada,PayPal,172,47000,39.0,97.6,4.9,39,Hourly,91.8,790
1029,Web Development,Upwork,Intermediate,Germany,Cryptocurrency,125,41000,38.0,96.1,4.7,38,Fixed-Price,88.4,670
1030,Graphic Design,Freelancer,Expert,France,Bank Transfer,180,48000,41.0,97.9,4.9,41,Hourly,92.5,830
1031,Content Writing,Fiverr,Beginner,USA,Credit Card,42,17500,23.0,88.4,4.3,28,Fixed-Price,78.2,290
1032,Digital Marketing,Upwork,Expert,UK,PayPal,190,51500,49.5,98.4,4.9,49,Hourly,93.5,930
1033,Mobile App Development,Freelancer,Intermediate,Australia,Cryptocurrency,120,39500,43.5,96.8,4.8,39,Fixed-Price,89.3,645
1034,SEO,Fiverr,Beginner,Canada,Bank Transfer,51,21500,29.5,90.3,4.5,31,Hourly,80.9,345
1035,Video Editing,Upwork,Expert,Germany,Credit Card,170,46500,38.5,97.7,4.9,39,Fixed-Price,91.6,785
1036,Web Development,Freelancer,Expert,France,PayPal,195,52500,51.5,98.5,5.0,49,Hourly,94.1,970
1037,Graphic Design,Fiverr,Intermediate,USA,Bank Transfer,102,34500,37.5,95.1,4.7,37,Fixed-Price,87.3,575
1038,Content Writing,Upwork,Beginner,UK,Cryptocurrency,48,19500,26.5,90.0,4.4,29,Hourly,79.5,315
1039,Digital Marketing,Freelancer,Expert,Australia,Credit Card,179,48500,47.5,97.2,4.8,47,Fixed-Price,91.4,825
1040,Mobile App Development,Fiverr,Intermediate,Canada,PayPal,116,38500,42.5,96.6,4.8,38,Hourly,88.6,625
1041,SEO,Upwork,Beginner,Germany,Bank Transfer,53,22500,30.5,91.0,4.5,33,Fixed-Price,81.2,355
1042,Video Editing,Freelancer,Expert,France,Cryptocurrency,173,47500,39.5,97.8,4.9,40,Hourly,92.0,795
1043,Web Development,Fiverr,Intermediate,USA,Credit Card,126,35500,35.5,95.7,4.7,36,Fixed-Price,87.5,585
1044,Graphic Design,Upwork,Expert,UK,PayPal,181,48500,41.5,98.1,4.9,42,Hourly,92.7,835
1045,Content Writing,Freelancer,Beginner,Australia,Bank Transfer,44,18500,25.5,89.0,4.3,28,Fixed-Price,78.7,305
1046,Digital Marketing,Fiverr,Expert,Canada,Cryptocurrency,186,50500,48.5,98.5,5.0,48,Hourly,93.8,925
1047,Mobile App Development,Upwork,Intermediate,Germany,Credit Card,117,38500,43.0,96.4,4.7,38,Fixed-Price,88.0,615
1048,SEO,Freelancer,Beginner,France,PayPal,52,21500,30.0,90.7,4.5,32,Hourly,81.0,350
1049,Video Editing,Fiverr,Expert,USA,Bank Transfer,171,46500,38.5,97.5,4.8,39,Fixed-Price,91.0,775
1050,Web Development,Upwork,Expert,UK,Cryptocurrency,194,52500,51.0,98.8,5.0,50,Hourly,94.5,985
1051,Graphic Design,Freelancer,Intermediate,Australia,PayPal,99,33500,36.5,94.8,4.6,37,Fixed-Price,86.5,565
1052,Content Writing,Fiverr,Beginner,Canada,Credit Card,41,17000,24.0,88.5,4.3,28,Hourly,77.0,285
1053,Digital Marketing,Upwork,Expert,Germany,Bank Transfer,187,50500,48.0,98.2,4.9,48,Fixed-Price,92.9,915
1054,Mobile App Development,Freelancer,Intermediate,France,Cryptocurrency,122,40500,44.5,97.0,4.8,40,Hourly,89.7,655
1055,SEO,Fiverr,Beginner,USA,PayPal,48,20500,28.5,89.5,4.4,30,Fixed-Price,79.3,325
1056,Video Editing,Upwork,Expert,UK,Credit Card,169,46500,39.0,97.4,4.8,39,Hourly,90.6,775
1057,Web Development,Freelancer,Intermediate,Australia,Bank Transfer,106,36500,36.5,96.0,4.7,37,Fixed-Price,87.8,585
1058,Graphic Design,Fiverr,Expert,Canada,Cryptocurrency,183,49500,42.5,98.3,4.9,43,Hourly,93.0,855
1059,Content Writing,Upwork,Beginner,Germany,PayPal,42,17500,24.5,88.6,4.3,28,Fixed-Price,77.6,290
1060,Digital Marketing,Freelancer,Expert,France,Credit Card,177,47500,46.5,97.0,4.8,47,Hourly,91.3,815
1061,Mobile App Development,Fiverr,Intermediate,USA,Bank Transfer,113,37500,41.0,96.5,4.7,38,Fixed-Price,88.5,625
1062,SEO,Upwork,Beginner,UK,Cryptocurrency,57,24500,32.5,92.0,4.6,34,Hourly,82.5,385
1063,Video Editing,Freelancer,Expert,Australia,PayPal,163,45500,37.0,97.2,4.8,37,Fixed-Price,90.4,765
1064,Web Development,Fiverr,Expert,Canada,Credit Card,198,53500,52.5,98.7,5.0,51,Hourly,94.7,990
1065,Graphic Design,Upwork,Intermediate,Germany,Bank Transfer,100,34000,37.0,94.9,4.6,37,Fixed-Price,86.7,565
1066,Content Writing,Freelancer,Beginner,France,PayPal,48,19500,27.0,90.2,4.4,30,Hourly,79.9,320
1067,Digital Marketing,Fiverr,Expert,USA,Cryptocurrency,184,50000,48.5,98.1,4.9,48,Fixed-Price,93.2,910
1068,Mobile App Development,Upwork,Intermediate,UK,Bank Transfer,119,39500,43.5,96.8,4.8,39,Hourly,89.3,645
1069,SEO,Freelancer,Beginner,Australia,Credit Card,49,21000,29.0,89.7,4.4,31,Fixed-Price,80.1,335
1070,Video Editing,Fiverr,Expert,Canada,PayPal,173,47500,39.5,97.7,4.9,40,Hourly,91.9,795
1071,Web Development,Upwork,Intermediate,Germany,Cryptocurrency,124,41000,37.5,96.2,4.7,38,Fixed-Price,88.2,665
1072,Graphic Design,Freelancer,Expert,France,Bank Transfer,181,48500,41.5,98.0,4.9,42,Hourly,92.6,840
1073,Content Writing,Fiverr,Beginner,USA,Credit Card,43,18000,24.5,89.1,4.3,29,Fixed-Price,78.4,300
1074,Digital Marketing,Upwork,Expert,UK,PayPal,189,51000,49.0,98.3,4.9,49,Hourly,93.3,925
1075,Mobile App Development,Freelancer,Intermediate,Australia,Cryptocurrency,121,40000,44.0,97.1,4.8,40,Fixed-Price,89.5,650
1076,SEO,Fiverr,Beginner,Canada,Bank Transfer,50,21000,29.0,90.0,4.4,31,Hourly,80.3,340
1077,Video Editing,Upwork,Expert,Germany,Credit Card,171,46500,38.5,97.6,4.9,39,Fixed-Price,91.5,780
1078,Web Development,Freelancer,Expert,France,PayPal,196,53000,52.0,98.8,5.0,50,Hourly,94.4,975
1079,Graphic Design,Fiverr,Intermediate,USA,Bank Transfer,101,34000,36.5,94.7,4.6,37,Fixed-Price,86.8,560
1080,Content Writing,Upwork,Beginner,UK,Cryptocurrency,49,20000,27.5,90.5,4.5,30,Hourly,80.2,325
1081,Digital Marketing,Freelancer,Expert,Australia,Credit Card,178,48000,47.0,97.1,4.8,47,Fixed-Price,91.1,810
1082,Mobile App Development,Fiverr,Intermediate,Canada,PayPal,115,38000,42.0,96.3,4.7,38,Hourly,88.1,610
1083,SEO,Upwork,Beginner,Germany,Bank Transfer,54,22500,30.5,91.3,4.5,33,Fixed-Price,81.5,360
1084,Video Editing,Freelancer,Expert,France,Cryptocurrency,174,48000,40.0,97.9,4.9,40,Hourly,92.3,800
1085,Web Development,Fiverr,Intermediate,USA,Credit Card,125,35000,35.0,95.5,4.7,35,Fixed-Price,87.0,575
1086,Graphic Design,Upwork,Expert,UK,PayPal,182,49000,42.0,98.4,5.0,42,Hourly,93.1,845
1087,Content Writing,Freelancer,Beginner,Australia,Bank Transfer,43,18000,25.0,88.5,4.2,28,Fixed-Price,77.8,295
1088,Digital Marketing,Fiverr,Expert,Canada,Cryptocurrency,187,51000,49.5,98.6,5.0,49,Hourly,94.0,935
1089,Mobile App Development,Upwork,Intermediate,Germany,Credit Card,118,39000,43.0,96.7,4.8,39,Fixed-Price,88.9,635
1090,SEO,Freelancer,Beginner,France,PayPal,51,21500,29.5,90.4,4.5,32,Hourly,80.8,345
1091,Video Editing,Fiverr,Expert,USA,Bank Transfer,172,47000,39.0,97.5,4.8,39,Fixed-Price,91.3,780
1092,Web Development,Upwork,Expert,UK,Cryptocurrency,193,52000,51.0,98.5,5.0,50,Hourly,94.0,970
1093,Graphic Design,Freelancer,Intermediate,Australia,PayPal,100,33500,36.0,94.6,4.6,36,Fixed-Price,86.3,555
1094,Content Writing,Fiverr,Beginner,Canada,Credit Card,42,17500,24.0,88.9,4.3,28,Hourly,78.0,290
1095,Digital Marketing,Upwork,Expert,Germany,Bank Transfer,186,50000,48.0,98.0,4.9,48,Fixed-Price,92.7,905
1096,Mobile App Development,Freelancer,Intermediate,France,Cryptocurrency,123,40500,44.5,97.2,4.8,40,Hourly,89.8,660
1097,SEO,Fiverr,Beginner,USA,PayPal,47,20000,28.0,89.0,4.3,30,Fixed-Price,78.9,315
1098,Video Editing,Upwork,Expert,UK,Credit Card,170,46000,38.0,97.3,4.8,38,Hourly,90.8,770
1099,Web Development,Freelancer,Intermediate,Australia,Bank Transfer,107,36500,37.0,96.1,4.7,37,Fixed-Price,88.0,590
1100,Graphic Design,Fiverr,Expert,Canada,Cryptocurrency,184,49500,43.0,98.4,5.0,43,Hourly,93.3,860
